codes,labels
UK_1GBLIV ,Liverpool
UK_1GBLON ,London
UK_1GBLRP ,Loch Ryan Pt
UK_1GBMED ,Medway
UK_1GBMLF ,Milford Haven
UK_1GBMME ,Tees & Hartlepool
UK_1GBMNC ,Manchester
UK_1GBNHV ,Newhaven
UK_1GBNPT ,"Newport, Gwent"
UK_1GBPHD ,Peterhead
UK_1GBPLY ,Plymouth
UK_1GBPME ,Portsmouth
UK_1GBPOO ,Poole
UK_1GBPTB ,Port Talbot
UK_1GBRMG ,Ramsgate
UK_1GBSHO ,Shoreham
UK_1GBSOU ,Southampton
UK_1GBSTR ,Stranraer
UK_1GBSUL ,Sullom Voe
UK_1GBSUN ,Sunderland
UK_1GBSWA ,Swansea
UK_1GBTYN ,Tyne
UK_1GBWPT ,Warrenpoint 
